Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Bond Fund,322543871717.3,2810605055.48,114.7596,114.7596,114.7596,2022-12-30
Bond Fund,322201365882.47,2808386687.91,114.7283,114.7283,114.7283,2022-12-29
Bond Fund,322240185499.51,2809499625.44,114.6966,114.6966,114.6966,2022-12-28
Bond Fund,321010329276.27,2802003904.92,114.5646,114.5646,114.5646,2022-12-27
Bond Fund,319299356141.01,2790119224.38,114.4393,114.4393,114.4393,2022-12-23
Bond Fund,318893785804.95,2787342893.78,114.4078,114.4078,114.4078,2022-12-22
Bond Fund,317210318787.55,2774121970.66,114.3462,114.3462,114.3462,2022-12-20
Bond Fund,316342173550.29,2767280942.44,114.3152,114.3152,114.3152,2022-12-19
Bond Fund,315708003941.69,2763970521.48,114.2226,114.2226,114.2226,2022-12-16
Bond Fund,309988566730.34,2714617848.62,114.1923,114.1923,114.1923,2022-12-15
Bond Fund,309857000204.34,2714209234.38,114.1611,114.1611,114.1611,2022-12-14
Bond Fund,309159127727.3,2708829366.04,114.1302,114.1302,114.1302,2022-12-13
Bond Fund,307913741725.09,2698661852.61,114.0987,114.0987,114.0987,2022-12-12
Bond Fund,307148231662.57,2694872003.28,113.9751,113.9751,113.9751,2022-12-08
Bond Fund,306415821628.57,2689173632.73,113.9442,113.9442,113.9442,2022-12-07
Bond Fund,305530508682.65,2682136602.0,113.9131,113.9131,113.9131,2022-12-06
Bond Fund,304911208429.95,2677433835.0,113.8819,113.8819,113.8819,2022-12-05
Bond Fund,302343802951.37,2657069338.0,113.7885,113.7885,113.7885,2022-12-02
Bond Fund,301330273713.3,2648893275.0,113.757,113.757,113.757,2022-12-01
Bond Fund,303359737618.04,2644190021.0,114.7269,114.7269,114.7269,2022-11-30
Bond Fund,302904124821.1,2640935811.0,114.6958,114.6958,114.6958,2022-11-29
Bond Fund,301295984474.17,2627679789.0,114.6624,114.6624,114.6624,2022-11-28
Bond Fund,300646844471.24,2624177222.0,114.568,114.568,114.568,2022-11-25
Bond Fund,300011933924.77,2619354795.0,114.5366,114.5366,114.5366,2022-11-24
Bond Fund,299131534309.72,2612385608.0,114.5051,114.5051,114.5051,2022-11-23
Bond Fund,298574214028.65,2608223888.0,114.4742,114.4742,114.4742,2022-11-22
Bond Fund,297794169615.73,2602083655.0,114.4445,114.4445,114.4445,2022-11-21
Bond Fund,297506000193.56,2601669040.0,114.352,114.352,114.352,2022-11-18
Bond Fund,296700256947.02,2595314650.0,114.3215,114.3215,114.3215,2022-11-17
Bond Fund,296051553218.44,2594027829.0,114.1281,114.1281,114.1281,2022-11-16
Bond Fund,296867705310.82,2601911845.0,114.096,114.096,114.096,2022-11-15
Bond Fund,296084033370.94,2595753878.0,114.0648,114.0648,114.0648,2022-11-14
Bond Fund,295718460334.16,2594685588.0,113.9708,113.9708,113.9708,2022-11-11
Bond Fund,295187918361.85,2590727751.0,113.9402,113.9402,113.9402,2022-11-10
Bond Fund,294488207764.79,2585290280.0,113.9091,113.9091,113.9091,2022-11-09
Bond Fund,293549040558.98,2577748068.0,113.8781,113.8781,113.8781,2022-11-08
Bond Fund,292299794128.15,2567463249.0,113.8477,113.8477,113.8477,2022-11-07
Bond Fund,291605948511.64,2563455769.0,113.755,113.755,113.755,2022-11-04
Bond Fund,288737465694.56,2538939455.0,113.7237,113.7237,113.7237,2022-11-03
Bond Fund,288107319326.99,2534094530.0,113.6924,113.6924,113.6924,2022-11-02
Bond Fund,287696318098.99,2531154073.0,113.6621,113.6621,113.6621,2022-11-01
Bond Fund,289171880767.55,2522635762.0,114.6308,114.6308,114.6308,2022-10-31
Bond Fund,288530960312.06,2519102939.0,114.5372,114.5372,114.5372,2022-10-28
Bond Fund,287806503459.92,2513460867.0,114.5061,114.5061,114.5061,2022-10-27
Bond Fund,287194249601.37,2512114396.0,114.3237,114.3237,114.3237,2022-10-26
Bond Fund,287085907950.54,2511855246.0,114.2924,114.2924,114.2924,2022-10-25
Bond Fund,286304425876.57,2505702526.0,114.2611,114.2611,114.2611,2022-10-24
Bond Fund,285269076561.34,2498693617.0,114.1673,114.1673,114.1673,2022-10-21
Bond Fund,283315099976.88,2483603846.0,114.0742,114.0742,114.0742,2022-10-18
Bond Fund,281881973617.98,2471715726.0,114.043,114.043,114.043,2022-10-17
Bond Fund,281248544591.99,2468844387.0,113.9191,113.9191,113.9191,2022-10-13
Bond Fund,280199523972.86,2460304826.0,113.8881,113.8881,113.8881,2022-10-12
Bond Fund,279436536057.68,2454274276.0,113.8571,113.8571,113.8571,2022-10-11
Bond Fund,278399960211.87,2445838285.0,113.826,113.826,113.826,2022-10-10
Bond Fund,277627773224.29,2441064539.0,113.7323,113.7323,113.7323,2022-10-07
Bond Fund,277196478040.33,2437943091.0,113.701,113.701,113.701,2022-10-06
