Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Jikimu Fund,19122648898.31,120180812.85,159.1157,159.1157,155.9333,2022-12-30
Jikimu Fund,19098045024.69,120102700.55,159.0143,159.0143,155.834,2022-12-29
Jikimu Fund,19110252752.97,120205865.67,158.9794,158.9794,155.7998,2022-12-28
Jikimu Fund,19105325349.45,120200845.81,158.945,158.945,155.7661,2022-12-27
Jikimu Fund,19082634618.52,120161666.23,158.808,158.808,155.6318,2022-12-23
Jikimu Fund,19060195726.87,120046552.68,158.7734,158.7734,155.5979,2022-12-22
Jikimu Fund,19061315119.33,120049166.0,158.7792,158.7792,155.6037,2022-12-20
Jikimu Fund,19014507522.78,119975907.79,158.486,158.486,155.3163,2022-12-19
Jikimu Fund,19182265604.02,121119495.36,158.3747,158.3747,155.2072,2022-12-16
Jikimu Fund,19161700856.0,121040811.5,158.3078,158.3078,155.1416,2022-12-15
Jikimu Fund,19193447311.05,121267742.83,158.2733,158.2733,155.1078,2022-12-14
Jikimu Fund,19180110450.56,121209196.71,158.2397,158.2397,155.0749,2022-12-13
Jikimu Fund,19145550347.5,121016536.52,158.2061,158.2061,155.0419,2022-12-12
Jikimu Fund,19129902377.11,120995375.94,158.1044,158.1044,154.9423,2022-12-08
Jikimu Fund,19183613857.09,121300519.82,158.1495,158.1495,154.9865,2022-12-07
Jikimu Fund,18731133632.73,118879348.3,157.5642,157.5642,154.413,2022-12-06
Jikimu Fund,18687755868.84,118567135.5,157.6133,157.6133,154.461,2022-12-05
Jikimu Fund,18702748944.12,118541856.0,157.7734,157.7734,154.6179,2022-12-02
Jikimu Fund,18719818337.49,118582521.9,157.8632,157.8632,154.706,2022-12-01
Jikimu Fund,18760211616.97,118868846.7,157.8228,157.8228,154.6663,2022-11-30
Jikimu Fund,18741732490.74,118827693.4,157.7219,157.7219,154.5675,2022-11-29
Jikimu Fund,18703956474.49,118613802.1,157.6879,157.6879,154.5341,2022-11-28
Jikimu Fund,18762694674.49,119064813.4,157.5839,157.5839,154.4322,2022-11-25
Jikimu Fund,18726825392.14,119031982.6,157.326,157.326,154.1795,2022-11-24
Jikimu Fund,18722580793.6,119030106.4,157.2928,157.2928,154.147,2022-11-23
Jikimu Fund,18701044207.8,119005543.5,157.1443,157.1443,154.0014,2022-11-22
Jikimu Fund,18701229371.97,118938789.6,157.2341,157.2341,154.0894,2022-11-21
Jikimu Fund,18685250752.97,118912131.1,157.1349,157.1349,153.9922,2022-11-18
Jikimu Fund,18679109988.36,118898112.9,157.1018,157.1018,153.9598,2022-11-17
Jikimu Fund,18673675463.42,118888562.9,157.0687,157.0687,153.9274,2022-11-16
Jikimu Fund,18601751151.17,118455533.1,157.0357,157.0357,153.895,2022-11-15
Jikimu Fund,18606766164.13,118484446.4,157.0397,157.0397,153.8989,2022-11-14
Jikimu Fund,18588921628.53,118445685.3,156.9405,156.9405,153.8017,2022-11-11
Jikimu Fund,18559888639.01,118285654.6,156.9074,156.9074,153.7692,2022-11-10
Jikimu Fund,18591706083.28,118541897.7,156.8366,156.8366,153.6999,2022-11-09
Jikimu Fund,18586373104.82,118558802.3,156.7692,156.7692,153.6339,2022-11-08
Jikimu Fund,18570757289.45,118458496.3,156.7702,156.7702,153.6348,2022-11-07
Jikimu Fund,18560071166.92,118465244.2,156.671,156.671,153.5376,2022-11-04
Jikimu Fund,18616494650.71,118850577.1,156.6378,156.6378,153.5051,2022-11-03
Jikimu Fund,18617670026.02,118835672.9,156.6674,156.6674,153.534,2022-11-02
Jikimu Fund,18650988222.2,118822644.5,156.9649,156.9649,153.8256,2022-11-01
Jikimu Fund,18703049317.06,119103297.9,157.0322,157.0322,153.8915,2022-10-31
Jikimu Fund,18697628956.59,119054533.7,157.051,157.051,153.9099,2022-10-28
Jikimu Fund,18690862490.05,119035848.0,157.0188,157.0188,153.8784,2022-10-27
Jikimu Fund,18549261081.35,119131873.3,155.7036,155.7036,152.5895,2022-10-26
Jikimu Fund,18542475077.48,119113800.0,155.6703,155.6703,152.5568,2022-10-25
Jikimu Fund,18530577291.78,119011926.9,155.7035,155.7035,152.5895,2022-10-24
Jikimu Fund,18505834881.71,118929312.9,155.6036,155.6036,152.4916,2022-10-21
Jikimu Fund,18534755116.6,119191918.1,155.5035,155.5035,152.3934,2022-10-18
Jikimu Fund,18536322119.26,119313570.8,155.358,155.358,152.2509,2022-10-17
