Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Liquid Fund,559272074566.94,1632828600.86,342.5173,342.5173,342.5173,2022-12-30
Liquid Fund,558525557768.56,1631110418.38,342.4204,342.4204,342.4204,2022-12-29
Liquid Fund,557642382979.22,1628991151.64,342.3238,342.3238,342.3238,2022-12-28
Liquid Fund,554656675730.25,1620728287.36,342.2268,342.2268,342.2268,2022-12-27
Liquid Fund,551445797116.6,1613173610.54,341.8391,341.8391,341.8391,2022-12-23
Liquid Fund,551713135561.0,1614416060.12,341.7416,341.7416,341.7416,2022-12-22
Liquid Fund,569977885062.57,1668847022.09,341.5399,341.5399,341.5399,2022-12-20
Liquid Fund,568912409270.9,1666193049.9,341.4445,341.4445,341.4445,2022-12-19
Liquid Fund,568396584649.56,1666070778.54,341.1599,341.1599,341.1599,2022-12-16
Liquid Fund,568899581273.22,1668011046.08,341.0646,341.0646,341.0646,2022-12-15
Liquid Fund,569232099171.69,1669451067.41,340.9696,340.9696,340.9696,2022-12-14
Liquid Fund,567572894544.31,1665046619.86,340.8751,340.8751,340.8751,2022-12-13
Liquid Fund,566778379271.0,1663181098.89,340.7797,340.7797,340.7797,2022-12-12
Liquid Fund,565642687254.36,1661697383.54,340.4005,340.4005,340.4005,2022-12-08
Liquid Fund,570121620321.59,1675326475.19,340.3048,340.3048,340.3048,2022-12-07
Liquid Fund,569490945956.33,1673940526.0,340.2098,340.2098,340.2098,2022-12-06
Liquid Fund,567617207577.82,1668895073.0,340.1156,340.1156,340.1156,2022-12-05
Liquid Fund,567528860411.82,1670045213.0,339.8284,339.8284,339.8284,2022-12-02
Liquid Fund,566158484352.63,1666481524.0,339.7328,339.7328,339.7328,2022-12-01
Liquid Fund,565324247501.7,1664502675.0,339.6355,339.6355,339.6355,2022-11-30
Liquid Fund,564881195653.74,1663668585.0,339.5395,339.5395,339.5395,2022-11-29
Liquid Fund,562588803630.67,1657379956.0,339.4447,339.4447,339.4447,2022-11-28
Liquid Fund,562214722275.69,1657659661.0,339.1617,339.1617,339.1617,2022-11-25
Liquid Fund,561522909714.91,1656074006.0,339.0687,339.0687,339.0687,2022-11-24
Liquid Fund,560029596515.85,1652133058.0,338.9737,338.9737,338.9737,2022-11-23
Liquid Fund,559346448861.93,1650564782.0,338.8819,338.8819,338.8819,2022-11-22
Liquid Fund,558086628596.89,1647295833.0,338.7896,338.7896,338.7896,2022-11-21
Liquid Fund,538415530223.08,1590510556.0,338.5174,338.5174,338.5174,2022-11-18
Liquid Fund,536935888693.48,1586578984.0,338.4237,338.4237,338.4237,2022-11-17
Liquid Fund,545626007048.61,1615897642.0,337.6612,337.6612,337.6612,2022-11-16
Liquid Fund,545997796062.57,1617456320.0,337.5657,337.5657,337.5657,2022-11-15
Liquid Fund,544223502583.56,1612653940.0,337.4707,337.4707,337.4707,2022-11-14
Liquid Fund,542873247607.18,1610012427.0,337.1858,337.1858,337.1858,2022-11-11
Liquid Fund,541955697845.88,1607743529.0,337.0909,337.0909,337.0909,2022-11-10
Liquid Fund,540801973037.49,1604773842.0,336.9958,336.9958,336.9958,2022-11-09
Liquid Fund,540160512081.24,1603325344.0,336.9001,336.9001,336.9001,2022-11-08
Liquid Fund,538851014397.66,1599887684.0,336.8055,336.8055,336.8055,2022-11-07
Liquid Fund,537277029416.81,1596557714.0,336.5221,336.5221,336.5221,2022-11-04
Liquid Fund,535867343612.26,1592813784.0,336.4281,336.4281,336.4281,2022-11-03
Liquid Fund,530721421176.64,1577959248.0,336.334,336.334,336.334,2022-11-02
Liquid Fund,529218634926.7,1573934940.0,336.2392,336.2392,336.2392,2022-11-01
Liquid Fund,526780863473.42,1567126279.0,336.1445,336.1445,336.1445,2022-10-31
Liquid Fund,525524519453.39,1564712113.0,335.8602,335.8602,335.8602,2022-10-28
Liquid Fund,524726261889.63,1562776463.0,335.7654,335.7654,335.7654,2022-10-27
Liquid Fund,524578919373.43,1562777119.0,335.671,335.671,335.671,2022-10-26
Liquid Fund,523521067774.41,1560067044.0,335.576,335.576,335.576,2022-10-25
Liquid Fund,521376435624.52,1554115618.0,335.4811,335.4811,335.4811,2022-10-24
Liquid Fund,518435818329.16,1546660094.0,335.197,335.197,335.197,2022-10-21
Liquid Fund,564959721987.63,1686951530.0,334.8998,334.8998,334.8998,2022-10-18
Liquid Fund,556926747419.62,1663416153.0,334.809,334.809,334.809,2022-10-17
Liquid Fund,555191358476.36,1661266844.0,334.1976,334.1976,334.1976,2022-10-13
Liquid Fund,554456701217.46,1659530948.0,334.1045,334.1045,334.1045,2022-10-12
Liquid Fund,553867372248.07,1658229614.0,334.0113,334.0113,334.0113,2022-10-11
Liquid Fund,552790104721.44,1656305909.0,333.7488,333.7488,333.7488,2022-10-10
Liquid Fund,551183503769.77,1654121345.0,333.2183,333.2183,333.2183,2022-10-07
Liquid Fund,550106592554.28,1651351448.0,333.1251,333.1251,333.1251,2022-10-06
Liquid Fund,548488937341.46,1651731038.0,332.0692,332.0692,332.0692,2022-10-05
Liquid Fund,547369727137.31,1648825484.0,331.9755,331.9755,331.9755,2022-10-04
Liquid Fund,545260564207.88,1642935463.0,331.8819,331.8819,331.8819,2022-10-03
Liquid Fund,542839629832.91,1637018844.0,331.6026,331.6026,331.6026,2022-09-30
Liquid Fund,541310134155.27,1632876024.0,331.5072,331.5072,331.5072,2022-09-29
Liquid Fund,540566840183.52,1631092113.0,331.414,331.414,331.414,2022-09-28
Liquid Fund,556812088070.87,1681028408.0,331.233,331.233,331.233,2022-09-27
Liquid Fund,555695273383.91,1678120676.0,331.1414,331.1414,331.1414,2022-09-26
Liquid Fund,553864378803.66,1678861375.0,329.9048,329.9048,329.9048,2022-09-23
Liquid Fund,553076635911.29,1676942538.0,329.8125,329.8125,329.8125,2022-09-22
