Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday,Target_NAV
567929.4601597103,21.756665619348436,114.7596,114.7596,114.7596,2022,12,30,4,466188.84639119153
567627.8410036544,21.75587602299857,114.7283,114.7283,114.7283,2022,12,29,3,466239.8641674047
567662.0345764811,21.75627223519742,114.6966,114.6966,114.6966,2022,12,28,2,465341.83769957756
566577.7345398158,21.7536006784791,114.5646,114.5646,114.5646,2022,12,27,1,465884.0860201065
565065.7980633848,21.749350164619354,114.4393,114.4393,114.4393,2022,12,23,4,465076.3004548931
564706.8140238349,21.748354611168523,114.4078,114.4078,114.4078,2022,12,22,3,464507.76730800746
563214.2743108966,21.74360012710819,114.3462,114.3462,114.3462,2022,12,20,1,464575.85242420854
562443.0402718928,21.741131065824373,114.3152,114.3152,114.3152,2022,12,19,0,463838.17369341216
561878.9940384763,21.739934077628536,114.2226,114.2226,114.2226,2022,12,16,4,463068.41539625655
556766.1688090791,21.72191702485257,114.1923,114.1923,114.1923,2022,12,15,3,461890.72003443626
556648.0038627103,21.721766489853195,114.1611,114.1611,114.1611,2022,12,14,2,461408.04217123264
556020.79792693,21.719782410261935,114.1302,114.1302,114.1302,2022,12,13,1,460828.3250944
554899.7582672838,21.716021876956948,114.0987,114.0987,114.0987,2022,12,12,0,460075.7836211334
554209.5557301138,21.714616546034776,113.9751,113.9751,113.9751,2022,12,8,3,459355.0317146858
553548.3914063611,21.712499783636034,113.9442,113.9442,113.9442,2022,12,7,2,458562.7359279862
552748.142179284,21.709879553394767,113.9131,113.9131,113.9131,2022,12,6,1,456208.81166618207
552187.656897499,21.708124648496252,113.8819,113.8819,113.8819,2022,12,5,0,455115.0222400706
549857.9843481133,21.70048959973285,113.7885,113.7885,113.7885,2022,12,2,4,456275.5973303306
548935.5824805858,21.69740775763651,113.757,113.757,113.757,2022,12,1,3,454457.6000255249
550781.025107111,21.69563062511287,114.7269,114.7269,114.7269,2022,11,30,2,453807.55961647443
550367.2635805113,21.694399165157254,114.6958,114.6958,114.6958,2022,11,29,1,453398.4962086994
548904.3491120925,21.68936708425455,114.6624,114.6624,114.6624,2022,11,28,0,453059.645126533
548312.7250677664,21.688033244619557,114.568,114.568,114.568,2022,11,25,4,452337.5344896331
547733.4515298203,21.686193862941703,114.5366,114.5366,114.5366,2022,11,24,3,451085.0265561693
546929.1858273061,21.683529666867205,114.5051,114.5051,114.5051,2022,11,23,2,450413.9339995156
546419.4488016051,21.681935323951972,114.4742,114.4742,114.4742,2022,11,22,1,450003.3028725678
545705.2039478183,21.679578366788938,114.4445,114.4445,114.4445,2022,11,21,0,450542.3242842896
545441.1060724704,21.679419014481027,114.352,114.352,114.352,2022,11,18,4,449929.4170056899
544701.9891160853,21.67697359862226,114.3215,114.3215,114.3215,2022,11,17,3,448494.4307925685
544106.196636686,21.676477651002084,114.1281,114.1281,114.1281,2022,11,16,2,447607.4020245197
544855.6738355764,21.67951233675488,114.096,114.096,114.096,2022,11,15,1,446521.684231382
544136.0430728147,21.677142823127266,114.0648,114.0648,114.0648,2022,11,14,0,446040.23596193653
543800.0186963587,21.676731185530073,113.9708,113.9708,113.9708,2022,11,11,4,445280.36329279107
543311.98989333,21.67520465813107,113.9402,113.9402,113.9402,2022,11,10,3,444380.88268281746
542667.6770960197,21.67310363260617,113.9091,113.9091,113.9091,2022,11,9,2,443333.05873988237
541801.6616428746,21.670182012871212,113.8781,113.8781,113.8781,2022,11,8,1,441415.371952858
540647.5692428016,21.66618418574049,113.8477,113.8477,113.8477,2022,11,7,0,440720.2809315677
540005.5078530589,21.66462209489445,113.755,113.755,113.755,2022,11,4,4,441903.1451437747
537342.9684052449,21.65501229338227,113.7237,113.7237,113.7237,2022,11,3,3,441278.7160705578
536756.2941661606,21.653102222806226,113.6924,113.6924,113.6924,2022,11,2,2,439116.3127840846
536373.3010683791,21.65194119101459,113.6621,113.6621,113.6621,2022,11,1,1,438371.0782834447
537747.0416167345,21.648570129160024,114.6308,114.6308,114.6308,2022,10,31,0,437263.81447660405
537150.7798673107,21.647168698507734,114.5372,114.5372,114.5372,2022,10,28,4,437024.2596308585
536476.0045518532,21.644926471848986,114.5061,114.5061,114.5061,2022,10,27,3,436505.74281328765
535905.0751778434,21.644390624324377,114.3237,114.3237,114.3237,2022,10,26,2,435529.2692775883
535803.9827684561,21.64428745889198,114.2924,114.2924,114.2924,2022,10,25,1,434056.7273722295
535074.2246423108,21.641834981665628,114.2611,114.2611,114.2611,2022,10,24,0,433184.1419514223
534105.8664359904,21.63903387904206,114.1673,114.1673,114.1673,2022,10,21,4,433083.5395405025
532273.5198907419,21.63297650601236,114.0742,114.0742,114.0742,2022,10,18,1,432003.3057597592
530925.5819961777,21.628178372356313,114.043,114.043,114.043,2022,10,17,0,431079.6714686741
530328.7137163044,21.627016018591714,113.9191,113.9191,113.9191,2022,10,13,3,430047.4447929438
529338.7610716411,21.62355109222223,113.8881,113.8881,113.8881,2022,10,12,2,429312.5446105669
528617.5707046447,21.62109694390084,113.8571,113.8571,113.8571,2022,10,11,1,425849.4129422043
527636.200626786,21.617653757961982,113.826,113.826,113.826,2022,10,10,0,423278.7720426102
