Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday
138284.66617203082,18.604507940451775,159.1157,159.1157,155.9333,2022,12,30,4
138195.67657741683,18.603857772642538,159.0143,159.0143,155.834,2022,12,29,3
138239.8377927651,18.604716378125985,158.9794,158.9794,155.7998,2022,12,28,2
138222.01470623267,18.604674616729476,158.945,158.945,155.7661,2022,12,27,1
138139.90957909304,18.60434861264494,158.808,158.808,155.6318,2022,12,23,4
138058.66769917056,18.603390164517442,158.7734,158.7734,155.5979,2022,12,22,3
138062.72168594244,18.60341193350203,158.7792,158.7792,155.6037,2022,12,20,1
137893.10179548504,18.602801512172977,158.486,158.486,155.3163,2022,12,19,0
138500.05633219072,18.612288181198235,158.3747,158.3747,155.2072,2022,12,16,4
138425.79548624597,18.61163833181714,158.3078,158.3078,155.1416,2022,12,15,3
138540.41760818393,18.61351140969485,158.2733,158.2733,155.1078,2022,12,14,2
138492.27577940945,18.613028509166256,158.2397,158.2397,155.0749,2022,12,13,1
138367.44684896083,18.61143775967769,158.2061,158.2061,155.0419,2022,12,12,0
138310.89030553596,18.61126288745889,158.1044,158.1044,154.9423,2022,12,8,3
138504.92358428997,18.613781659313176,158.1495,158.1495,154.9865,2022,12,7,2
136861.73180524205,18.593619656920044,157.5642,157.5642,154.413,2022,12,6,1
136703.16700369454,18.590989902417622,157.6133,157.6133,154.461,2022,12,5,0
136757.99407756753,18.590776671363532,157.7734,157.7734,154.6179,2022,12,2,4
136820.38714128095,18.591119663516082,157.8632,157.8632,154.706,2022,12,1,3
136967.9218538779,18.593531314714063,157.8228,157.8228,154.6663,2022,11,30,2
136900.44737231504,18.59318504715465,157.7219,157.7219,154.5675,2022,11,29,1
136762.40885012958,18.591383412967623,157.6879,157.6879,154.5341,2022,11,28,0
136976.98593008245,18.595178553227765,157.5839,157.5839,154.4322,2022,11,25,4
136845.99150921448,18.59490277631048,157.326,157.326,154.1795,2022,11,24,3
136830.48196070932,18.594887014035958,157.2928,157.2928,154.147,2022,11,23,2
136751.76126032163,18.594680634024414,157.1443,157.1443,154.0014,2022,11,22,1
136752.4382670013,18.59411954563133,157.2341,157.2341,154.0894,2022,11,21,0
136694.0040856584,18.59389538421095,157.1349,157.1349,153.9922,2022,11,18,4
136671.5405209146,18.593777490214624,157.1018,157.1018,153.9598,2022,11,17,3
136651.65737531323,18.593697166117632,157.0687,157.0687,153.9274,2022,11,16,2
136388.2368504337,18.59004820001501,157.0357,157.0357,153.895,2022,11,15,1
136406.62067557426,18.59029225591646,157.0397,157.0397,153.8989,2022,11,14,0
136341.1956399459,18.589965061565387,156.9405,156.9405,153.8017,2022,11,11,4
136234.68221789194,18.58861305870472,156.9074,156.9074,153.7692,2022,11,10,3
136351.40660543257,18.590777023137953,156.8366,156.8366,153.6999,2022,11,9,2
136331.8491946031,18.590919617402996,156.7692,156.7692,153.6339,2022,11,8,1
136274.56582007516,18.590073214996245,156.7702,156.7702,153.6348,2022,11,7,0
136235.3521187507,18.590130177628925,156.671,156.671,153.5376,2022,11,4,4
136442.2758924447,18.59337760745915,156.6378,156.6378,153.5051,2022,11,3,3
136446.583049998,18.59325219675475,156.6674,156.6674,153.534,2022,11,2,2
136568.62092808876,18.593142556998348,156.9649,156.9649,153.8256,2022,11,1,1
136759.09226468272,18.595501724118485,157.0322,157.0322,153.8915,2022,10,31,0
136739.27364363906,18.595092212490385,157.051,157.051,153.9099,2022,10,28,4
136714.52918417266,18.59493524940851,157.0188,157.0188,153.8784,2022,10,27,3
136195.67203604526,18.595741616490322,155.7036,155.7036,152.5895,2022,10,26,2
136170.7570570128,18.595589896630866,155.6703,155.6703,152.5568,2022,10,25,1
136127.06303957343,18.594734272103928,155.7035,155.7035,152.5895,2022,10,24,0
136036.15284809403,18.59403986533872,155.6036,155.6036,152.4916,2022,10,21,4
