Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday
747844.953561191,21.213579685756766,342.5173,342.5173,342.5173,2022,12,30,4
747345.6748844942,21.21252685809756,342.4204,342.4204,342.4204,2022,12,29,3
746754.5667615432,21.211226734777473,342.3238,342.3238,342.3238,2022,12,28,2
744752.7614787675,21.206141445267605,342.2268,342.2268,342.2268,2022,12,27,1
742593.965176529,21.20146926237444,341.8391,341.8391,341.8391,2022,12,23,4
742773.9464742958,21.202239155556754,341.7416,341.7416,341.7416,2022,12,22,3
754968.7974099128,21.235398819001013,341.5399,341.5399,341.5399,2022,12,20,1
754262.8250622591,21.23380725026844,341.4445,341.4445,341.4445,2022,12,19,0
753920.8079430889,21.233733863906284,341.1599,341.1599,341.1599,2022,12,16,4
754254.3213487212,21.23489776321116,341.0646,341.0646,341.0646,2022,12,15,3
754474.7173840154,21.23576070719098,340.9696,340.9696,340.9696,2022,12,14,2
753374.3389207718,21.233118959902743,340.8751,340.8751,340.8751,2022,12,13,1
752846.849811434,21.23199793013975,340.7797,340.7797,340.7797,2022,12,12,0
752092.2066172205,21.231105437101988,340.4005,340.4005,340.4005,2022,12,8,3
755063.984256692,21.23927389379204,340.3048,340.3048,340.3048,2022,12,7,2
754646.2389466537,21.238446280306093,340.2098,340.2098,340.2098,2022,12,6,1
753403.7480513486,21.23542761146528,340.1156,340.1156,340.1156,2022,12,5,0
753345.1137505439,21.236116536661285,339.8284,339.8284,339.8284,2022,12,2,4
752435.0366328179,21.23398036894194,339.7328,339.7328,339.7328,2022,12,1,3
751880.4742122912,21.23279222206728,339.6355,339.6355,339.6355,2022,11,30,2
751585.7872882775,21.232290991840646,339.5395,339.5395,339.5395,2022,11,29,1
750059.2000840134,21.228503852665444,339.4447,339.4447,339.4447,2022,11,28,0
749809.7907307493,21.228672601780374,339.1617,339.1617,339.1617,2022,11,25,4
749348.3233549736,21.227715581524453,339.0687,339.0687,339.0687,2022,11,24,3
748351.2520974693,21.225333052385274,338.9737,338.9737,338.9737,2022,11,23,2
747894.677653164,21.22438335841153,338.8819,338.8819,338.8819,2022,11,22,1
747051.9584318683,21.22240089132013,338.7896,338.7896,338.7896,2022,11,21,0
733768.035705481,21.18732090603808,338.5174,338.5174,338.5174,2022,11,18,4
732759.0932178734,21.184845952809745,338.4237,338.4237,338.4237,2022,11,17,3
738665.0168030228,21.203156454692696,337.6612,337.6612,337.6612,2022,11,16,2
738916.6367477254,21.204120579337914,337.5657,337.5657,337.5657,2022,11,15,1
737715.0551422683,21.201147068744216,337.4707,337.4707,337.4707,2022,11,14,0
736799.3265517959,21.199507734546536,337.1858,337.1858,337.1858,2022,11,11,4
736176.4040268338,21.198097498091656,337.0909,337.0909,337.0909,2022,11,10,3
735392.3939214288,21.196248675188652,336.9958,336.9958,336.9958,2022,11,9,2
734956.1293582359,21.195345649431374,336.9001,336.9001,336.9001,2022,11,8,1
734064.7208507298,21.193199266228188,336.8055,336.8055,336.8055,2022,11,7,0
732991.8344816741,21.19111571979455,336.5221,336.5221,336.5221,2022,11,4,4
732029.6056938272,21.188767964619558,336.4281,336.4281,336.4281,2022,11,3,3
728506.2945346732,21.179398233941562,336.334,336.334,336.334,2022,11,2,2
727474.1472565881,21.17684465190691,336.2392,336.2392,336.2392,2022,11,1,1
