Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday
549810.5917722121,19.658103096915,877.0422,877.0422,868.2718,2022,12,30,4
549583.2334493748,19.65810335623415,876.3168,876.3168,867.5536,2022,12,29,3
549551.9172860103,19.658132063301593,876.1918,876.1918,867.4299,2022,12,28,2
549569.5238399596,19.658339957489503,876.0658,876.0658,867.3051,2022,12,27,1
549387.3271997271,19.658246472941567,875.5668,875.5668,866.8112,2022,12,23,4
549360.3124750641,19.658290875638812,875.4419,875.4419,866.6874,2022,12,22,3
549455.1189545603,19.658344789424273,875.6968,875.6968,866.9399,2022,12,20,1
548849.5454609123,19.65828571194229,873.8193,873.8193,865.0811,2022,12,19,0
548736.5978230538,19.658293914564048,873.4525,873.4525,864.718,2022,12,16,4
548595.7827155436,19.658259647908324,873.0342,873.0342,864.3038,2022,12,15,3
548702.4488625962,19.658795473385975,872.9058,872.9058,864.1768,2022,12,14,2
548617.2328585295,19.658620086561307,872.7878,872.7878,864.0599,2022,12,13,1
548515.1833852733,19.658411350986594,872.6453,872.6453,863.9188,2022,12,12,0
548428.8617789639,19.658317365927488,872.4526,872.4526,863.7281,2022,12,8,3
548477.9636677302,19.65838152079799,872.5529,872.5529,863.8273,2022,12,7,2
546893.0594946146,19.65830105985853,867.5872,867.5872,858.9114,2022,12,6,1
546858.5048341025,26.423889996037207,867.6087,867.6087,858.9327,2022,12,5,0
547277.9274854596,19.658084598825685,868.9968,868.9968,860.3069,2022,12,2,4
547403.6916281164,19.65826848492382,869.2364,869.2364,860.5441,2022,12,1,3
547310.4439971249,19.658066304392893,869.116,869.116,860.4249,2022,11,30,2
546958.9375343363,19.657798805185177,868.2322,868.2322,859.5499,2022,11,29,1
546898.0695148228,19.65771721914988,868.1098,868.1098,859.4287,2022,11,28,0
546824.9996655511,19.657873618628322,867.7421,867.7421,859.0647,2022,11,25,4
546317.0423228713,19.657891135388287,866.1156,866.1156,857.4544,2022,11,24,3
546301.2762830872,19.65797488988467,865.9931,865.9931,857.3331,2022,11,23,2
546088.9453040961,19.657938329750337,865.3517,865.3517,856.6981,2022,11,22,1
546140.23668459,19.657846537012542,865.5937,865.5937,856.9377,2022,11,21,0
545973.7800151487,19.657656689734353,865.2304,865.2304,856.578,2022,11,18,4
545903.977368154,19.657541013592173,865.1092,865.1092,856.4581,2022,11,17,3
545852.2672806993,19.657491648419796,864.988,864.988,856.3381,2022,11,16,2
545803.0496467659,19.657451482552265,864.8668,864.8668,856.2181,2022,11,15,1
545966.3875136728,19.65790316438016,864.9937,864.9937,856.3438,2022,11,14,0
545969.0891346415,19.658333323363372,864.6302,864.6302,855.9839,2022,11,11,4
545927.7331584924,19.658293970722713,864.5333,864.5333,864.5333,2022,11,10,3
545992.9892699997,19.65896439785017,864.1604,864.1604,855.5188,2022,11,9,2
545850.3342498931,19.65891950118179,863.7477,863.7477,855.1102,2022,11,8,1
543792.9106835156,19.658877893520533,857.2843,857.2843,848.7115,2022,11,7,0
543688.278483581,19.658920852088514,856.9177,856.9177,848.3485,2022,11,4,4
543783.5724688638,19.659414170766965,856.7953,856.7953,848.2273,2022,11,3,3
543745.7171869219,19.659377084851815,856.7078,856.7078,848.1407,2022,11,2,2
544004.6555313658,19.65934510971408,857.5513,857.5513,848.9758,2022,11,1,1
544102.6731834167,19.659317830301223,857.8838,857.8838,849.305,2022,10,31,0
544117.0349177463,19.65919363581656,858.0356,858.0356,849.4553,2022,10,28,4
544067.8353467608,19.65915520214664,857.9135,857.9135,849.3343,2022,10,27,3
544423.3695568275,19.65933829949314,858.8778,858.8778,850.289,2022,10,26,2
544343.3397624885,19.659273952757385,858.6806,858.6806,850.0938,2022,10,25,1
544330.3942443045,19.659130627206398,858.7628,858.7628,850.1752,2022,10,24,0
544203.565612685,19.659090522479758,858.3971,858.3971,849.8131,2022,10,21,4
