Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday
91798.31206634466,16.54846900369115,547.9748,547.9748,542.4951,2022,12,30,4
91714.16159966792,16.54724424477337,547.641,547.641,542.1646,2022,12,29,3
91658.82493339089,16.54626248253376,547.5176,547.5176,542.0424,2022,12,28,2
91692.97826954907,16.54723631609456,547.3924,547.3924,541.9184,2022,12,27,1
91479.47669040308,16.543473363975036,546.9003,546.9003,541.4313,2022,12,23,4
91424.47887699443,16.542496214399286,546.7769,546.7769,541.3091,2022,12,22,3
91245.5031459633,16.538709069198774,546.7048,546.7048,541.2377,2022,12,20,1
91147.73502605536,16.537883555687394,545.9843,545.9843,540.5245,2022,12,19,0
91013.8069282348,16.53560942878021,545.6204,545.6204,540.1642,2022,12,16,4
90946.69572166984,16.534552582361563,545.3922,545.3922,539.9383,2022,12,15,3
90995.92392992116,16.53454744380851,545.2685,545.2685,539.8158,2022,12,14,2
90926.03249691476,16.53454744380851,545.1472,545.1472,539.6957,2022,12,13,1
90899.74489997208,16.534192178058472,545.0256,545.0256,539.5753,2022,12,12,0
90732.5137977561,16.531203295014933,544.6475,544.6475,539.201,2022,12,8,3
90734.39234176862,16.531115466929364,544.7179,544.7179,539.2707,2022,12,7,2
90539.4098053991,16.52956314266498,543.2219,543.2219,537.7897,2022,12,6,1
90272.17074115366,16.52341242139833,543.3516,543.3516,537.9181,2022,12,5,0
90237.64453120438,16.5222045858792,543.5922,543.5922,538.1563,2022,12,2,4
90239.12118565872,16.52178659616982,543.8373,543.8373,538.3989,2022,12,1,3
90178.84337997467,16.520676762342962,543.7141,543.7141,538.2769,2022,11,30,2
90110.79708098248,16.51958664137801,543.486,543.486,538.0511,2022,11,29,1
89794.99009142994,16.51278826757186,543.3647,543.3647,537.931,2022,11,28,0
89730.54133448655,16.51202477270583,542.9994,542.9994,537.5694,2022,11,25,4
89618.82626686203,16.51072684625751,542.3516,542.3516,536.9281,2022,11,24,3
89552.7670212931,16.509476066499165,542.2302,542.2302,536.8079,2022,11,23,2
89481.11526920079,16.508661653234345,541.8039,541.8039,536.3858,2022,11,22,1
89463.77626128912,16.507820528372203,542.0497,542.0497,536.6292,2022,11,21,0
89431.819950843,16.507768609562746,541.6906,541.6906,536.2737,2022,11,18,4
89383.603656711,16.506910574198116,541.5712,541.5712,536.1555,2022,11,17,3
89092.86902008488,16.50061451209162,541.4521,541.4521,536.0376,2022,11,16,2
89117.11179470528,16.501383128040377,541.3306,541.3306,535.9173,2022,11,15,1
89080.83380189029,16.500626750308857,541.2992,541.2992,535.8862,2022,11,14,0
89014.33621091605,16.499797770441827,540.9396,540.9396,535.5302,2022,11,11,4
88942.7588902548,16.49840621501887,540.8221,540.8221,535.4139,2022,11,10,3
88836.85657676097,16.49640526425338,540.6156,540.6156,535.2095,2022,11,9,2
88739.21030367579,16.494624864977368,540.3891,540.3891,534.9852,2022,11,8,1
88654.98635412448,16.49273281900346,540.3852,540.3852,534.9814,2022,11,7,0
88590.0983300617,16.491908219225305,540.0396,540.0396,534.6392,2022,11,4,4
88286.48424085081,16.485257452487076,539.9233,539.9233,534.5241,2022,11,3,3
88278.04178627887,16.484899390517505,540.0134,540.0134,534.6133,2022,11,2,2
88294.50975202252,16.48362560937752,540.9035,540.9035,535.4944,2022,11,1,1
88401.11435570255,16.485821825082667,541.0209,541.0209,535.6107,2022,10,31,0
88269.04125547076,16.482835027968314,541.019,541.019,535.6088,2022,10,28,4
88064.69287166111,16.478394191932214,540.9137,540.9137,535.5046,2022,10,27,3
85808.65552646773,16.43384208501674,536.9517,536.9517,531.5822,2022,10,26,2
81759.72428824598,16.337362650144176,536.8493,536.8493,531.4808,2022,10,25,1
81657.48401775553,16.334777909002653,536.8934,536.8934,531.5245,2022,10,24,0
81555.03268468476,16.3329223513483,536.5417,536.5417,531.1763,2022,10,21,4
81490.30800254716,16.331981986967275,536.1944,536.1944,530.8324,2022,10,18,1
81382.52465787725,16.33013577069418,535.7652,535.7652,530.4075,2022,10,17,0
81318.7785435197,16.329421510818307,535.3084,535.3084,529.9553,2022,10,13,3
81311.07502284052,16.328670835808893,535.6089,535.6089,530.2528,2022,10,12,2
81291.73240791465,16.327425330973504,536.0213,536.0213,530.6611,2022,10,11,1
81169.74660259818,16.324329889446332,536.0706,536.0706,530.7099,2022,10,10,0
81087.48268222414,16.322942452157953,535.7273,535.7273,530.3701,2022,10,7,4
81049.61003157264,16.322221780797555,535.6129,535.6129,530.2567,2022,10,6,3
81031.5090209358,16.321742154490174,535.6305,535.6305,530.2742,2022,10,5,2
135318.57540034925,18.58520694937321,155.3324,155.3324,152.2257,2022,10,4,1
80859.21686524054,16.317914052139045,535.4008,535.4008,530.0468,2022,10,3,0
80774.28852456702,16.316456333029148,535.0561,535.0561,529.7056,2022,9,30,4
80715.92034313925,16.31536417158132,534.867,534.867,529.5183,2022,9,29,3
80685.2934473811,16.314815926047423,534.7542,534.7542,529.4067,2022,9,28,2
80487.00246288217,16.30845419861126,535.5251,535.5251,530.1699,2022,9,27,1
80404.31207385584,16.306859444412424,535.2783,535.2783,529.9255,2022,9,26,0
80306.61095762913,16.305060507597723,534.9397,534.9397,529.5903,2022,9,23,4
80293.0701232678,16.30493479059133,534.8265,534.8265,529.4782,2022,9,22,3
80257.2056670926,16.304252586607948,534.7135,534.7135,529.3664,2022,9,21,2
80223.75673732813,16.303630453909626,534.6004,534.6004,529.2544,2022,9,20,1
80091.35161538978,16.300134417770956,534.7032,534.7032,529.3562,2022,9,19,0
79854.56129708559,16.29484721661288,534.364,534.364,529.0204,2022,9,16,4
79827.9053726828,16.29439307571687,534.2499,534.2499,528.9074,2022,9,15,3
79683.32402316057,16.294122491698232,532.4605,532.4605,527.1359,2022,9,14,2
79324.69817326758,16.28444478166136,532.81,532.81,527.4819,2022,9,13,1
79252.50414598898,16.282602653328947,532.8212,532.8212,527.493,2022,9,12,0
78963.28127142387,16.276389839442018,532.2358,532.2358,526.9134,2022,9,9,4
78950.66439207463,16.27628826629031,532.1198,532.1198,526.7986,2022,9,8,3
78887.2494855791,16.275136440962292,531.8776,531.8776,526.5588,2022,9,7,2
78842.85595474076,16.27455082454178,531.5903,531.5903,526.2744,2022,9,6,1
78771.92706548444,16.273113667112085,531.3975,531.3975,526.0835,2022,9,5,0
78761.0755156378,16.272361723270468,531.6507,531.6507,526.3342,2022,9,2,4
78696.53875552597,16.270940475384574,531.5347,531.5347,526.2193,2022,9,1,3
78645.76712067853,16.269468773227214,531.6309,531.6309,526.3146,2022,8,31,2
78530.77567489067,16.267257231041896,531.251,531.251,525.9384,2022,8,30,1
78472.88941742874,16.26626457800741,530.9949,530.9949,525.6849,2022,8,29,0
78376.76122978034,16.265001139948225,530.3644,530.3644,525.0608,2022,8,26,4
78448.08147443761,16.267039509358742,530.2481,530.2481,524.9457,2022,8,25,3
78452.23094131867,16.26613043016248,530.7865,530.7865,525.4787,2022,8,24,2
78359.26577591192,16.26496095246134,530.149,530.149,524.8475,2022,8,22,0
78556.07430752888,16.270059805222722,530.1055,530.1055,524.8045,2022,8,19,4
