Date Valued,Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month
2022-12-30,Umoja Fund,302291686824.91,344671758.31,877.0422,877.0422,868.2718,2022,12
2022-12-30,Wekeza Maisha Fund,6658727935.83,8978247.54,741.6512,741.6512,726.8182,2022,12
2022-12-30,Watoto Fund,8426930098.23,15378315.7,547.9748,547.9748,542.4951,2022,12
2022-12-30,Jikimu Fund,19122648898.31,120180812.85,159.1157,159.1157,155.9333,2022,12
2022-12-30,Liquid Fund,559272074566.94,1632828600.86,342.5173,342.5173,342.5173,2022,12
2022-12-30,Bond Fund,322543871717.3,2810605055.48,114.7596,114.7596,114.7596,2022,12
2022-12-29,Umoja Fund,302041730488.67,344671847.69,876.3168,876.3168,867.5536,2022,12
2022-12-29,Wekeza Maisha Fund,6640437731.36,8957835.83,741.2993,741.2993,726.4733,2022,12
2022-12-29,Watoto Fund,8411487437.93,15359492.5,547.641,547.641,542.1646,2022,12
2022-12-29,Jikimu Fund,19098045024.69,120102700.55,159.0143,159.0143,155.834,2022,12
2022-12-29,Liquid Fund,558525557768.56,1631110418.38,342.4204,342.4204,342.4204,2022,12
2022-12-29,Bond Fund,322201365882.47,2808386687.91,114.7283,114.7283,114.7283,2022,12
2022-12-28,Umoja Fund,302007309792.73,344681742.35,876.1918,876.1918,867.4299,2022,12
2022-12-28,Wekeza Maisha Fund,6631795100.25,8948322.05,741.1216,741.1216,726.2992,2022,12
2022-12-28,Watoto Fund,8401340188.17,15344420.53,547.5176,547.5176,542.0424,2022,12
2022-12-28,Jikimu Fund,19110252752.97,120205865.67,158.9794,158.9794,155.7998,2022,12
2022-12-28,Liquid Fund,557642382979.22,1628991151.64,342.3238,342.3238,342.3238,2022,12
2022-12-28,Bond Fund,322240185499.51,2809499625.44,114.6966,114.6966,114.6966,2022,12
2022-12-27,Umoja Fund,302026661533.68,344753407.13,876.0658,876.0658,867.3051,2022,12
2022-12-27,Wekeza Maisha Fund,6598529941.93,8905299.56,740.9666,740.9666,726.1473,2022,12
2022-12-27,Watoto Fund,8407602263.94,15359370.72,547.3924,547.3924,541.9184,2022,12
2022-12-27,Jikimu Fund,19105325349.45,120200845.81,158.945,158.945,155.7661,2022,12
2022-12-27,Liquid Fund,554656675730.25,1620728287.36,342.2268,342.2268,342.2268,2022,12
2022-12-27,Bond Fund,321010329276.27,2802003904.92,114.5646,114.5646,114.5646,2022,12
2022-12-23,Umoja Fund,301826435287.66,344721179.52,875.5668,875.5668,866.8112,2022,12
2022-12-23,Wekeza Maisha Fund,6583067011.55,8892450.96,740.2984,740.2984,725.4924,2022,12
2022-12-23,Watoto Fund,8368494655.55,15301682.75,546.9003,546.9003,541.4313,2022,12
2022-12-23,Jikimu Fund,19082634618.52,120161666.23,158.808,158.808,155.6318,2022,12
2022-12-23,Liquid Fund,551445797116.6,1613173610.54,341.8391,341.8391,341.8391,2022,12
2022-12-23,Bond Fund,319299356141.01,2790119224.38,114.4393,114.4393,114.4393,2022,12
2022-12-22,Umoja Fund,301796752922.7,344736486.41,875.4419,875.4419,866.6874,2022,12
2022-12-22,Wekeza Maisha Fund,6577693821.12,8887212.95,740.1301,740.1301,725.3275,2022,12
2022-12-22,Watoto Fund,8358435337.93,15286738.02,546.7769,546.7769,541.3091,2022,12
2022-12-22,Jikimu Fund,19060195726.87,120046552.68,158.7734,158.7734,155.5979,2022,12
2022-12-22,Liquid Fund,551713135561.0,1614416060.12,341.7416,341.7416,341.7416,2022,12
2022-12-22,Bond Fund,318893785804.95,2787342893.78,114.4078,114.4078,114.4078,2022,12
2022-12-20,Umoja Fund,301900927745.37,344755072.96,875.6968,875.6968,866.9399,2022,12
2022-12-20,Wekeza Maisha Fund,6569144988.16,8858135.51,740.1646,740.1646,725.3613,2022,12
2022-12-20,Watoto Fund,8325741844.36,15228954.41,546.7048,546.7048,541.2377,2022,12
2022-12-20,Jikimu Fund,19061315119.33,120049166.0,158.7792,158.7792,155.6037,2022,12
2022-12-20,Liquid Fund,569977885062.57,1668847022.09,341.5399,341.5399,341.5399,2022,12
2022-12-20,Bond Fund,317210318787.55,2774121970.66,114.3462,114.3462,114.3462,2022,12
2022-12-19,Umoja Fund,301235823552.65,344734706.3,873.8193,873.8193,865.0811,2022,12
2022-12-19,Wekeza Maisha Fund,6543855899.19,8858135.51,738.7396,738.7396,723.9649,2022,12
2022-12-19,Watoto Fund,8307909600.38,15216387.89,545.9843,545.9843,540.5245,2022,12
2022-12-19,Jikimu Fund,19014507522.78,119975907.79,158.486,158.486,155.3163,2022,12
2022-12-19,Liquid Fund,568912409270.9,1666193049.9,341.4445,341.4445,341.4445,2022,12
