Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Umoja Fund,"302,291,686,824.91","344,671,758.31",877.0422,877.0422,868.2718,30-12-2022
Wekeza Maisha Fund,"6,658,727,935.83","8,978,247.54",741.6512,741.6512,726.8182,30-12-2022
Watoto Fund,"8,426,930,098.23","15,378,315.70",547.9748,547.9748,542.4951,30-12-2022
Jikimu Fund,"19,122,648,898.31","120,180,812.85",159.1157,159.1157,155.9333,30-12-2022
Liquid Fund,"559,272,074,566.94","1,632,828,600.86",342.5173,342.5173,342.5173,30-12-2022
Bond Fund,"322,543,871,717.30","2,810,605,055.48",114.7596,114.7596,114.7596,30-12-2022
Umoja Fund,"302,041,730,488.67","344,671,847.69",876.3168,876.3168,867.5536,29-12-2022
Wekeza Maisha Fund,"6,640,437,731.36","8,957,835.83",741.2993,741.2993,726.4733,29-12-2022
Watoto Fund,"8,411,487,437.93","15,359,492.50",547.641,547.641,542.1646,29-12-2022
Jikimu Fund,"19,098,045,024.69","120,102,700.55",159.0143,159.0143,155.834,29-12-2022
Liquid Fund,"558,525,557,768.56","1,631,110,418.38",342.4204,342.4204,342.4204,29-12-2022
Bond Fund,"322,201,365,882.47","2,808,386,687.91",114.7283,114.7283,114.7283,29-12-2022
Umoja Fund,"302,007,309,792.73","344,681,742.35",876.1918,876.1918,867.4299,28-12-2022
Wekeza Maisha Fund,"6,631,795,100.25","8,948,322.05",741.1216,741.1216,726.2992,28-12-2022
Watoto Fund,"8,401,340,188.17","15,344,420.53",547.5176,547.5176,542.0424,28-12-2022
Jikimu Fund,"19,110,252,752.97","120,205,865.67",158.9794,158.9794,155.7998,28-12-2022
Liquid Fund,"557,642,382,979.22","1,628,991,151.64",342.3238,342.3238,342.3238,28-12-2022
Bond Fund,"322,240,185,499.51","2,809,499,625.44",114.6966,114.6966,114.6966,28-12-2022
Umoja Fund,"302,026,661,533.68","344,753,407.13",876.0658,876.0658,867.3051,27-12-2022
Wekeza Maisha Fund,"6,598,529,941.93","8,905,299.56",740.9666,740.9666,726.1473,27-12-2022
Watoto Fund,"8,407,602,263.94","15,359,370.72",547.3924,547.3924,541.9184,27-12-2022
Jikimu Fund,"19,105,325,349.45","120,200,845.81",158.945,158.945,155.7661,27-12-2022
Liquid Fund,"554,656,675,730.25","1,620,728,287.36",342.2268,342.2268,342.2268,27-12-2022
