Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Umoja Fund,302291686824.91,344671758.31,877.0422,877.0422,868.2718,2022-12-30
Umoja Fund,302041730488.67,344671847.69,876.3168,876.3168,867.5536,2022-12-29
Umoja Fund,302007309792.73,344681742.35,876.1918,876.1918,867.4299,2022-12-28
Umoja Fund,302026661533.68,344753407.13,876.0658,876.0658,867.3051,2022-12-27
Umoja Fund,301826435287.66,344721179.52,875.5668,875.5668,866.8112,2022-12-23
Umoja Fund,301796752922.7,344736486.41,875.4419,875.4419,866.6874,2022-12-22
Umoja Fund,301900927745.37,344755072.96,875.6968,875.6968,866.9399,2022-12-20
Umoja Fund,301235823552.65,344734706.3,873.8193,873.8193,865.0811,2022-12-19
Umoja Fund,301111853790.42,344737534.04,873.4525,873.4525,864.718,2022-12-16
Umoja Fund,300957332813.28,344725721.24,873.0342,873.0342,864.3038,2022-12-15
Umoja Fund,301074377387.81,344910483.56,872.9058,872.9058,864.1768,2022-12-14
Umoja Fund,300980868189.35,344849996.11,872.7878,872.7878,864.0599,2022-12-13
Umoja Fund,300868906404.18,344778021.16,872.6453,872.6453,863.9188,2022-12-12
Umoja Fund,300774216432.17,344745618.7,872.4526,872.4526,863.7281,2022-12-08
Umoja Fund,300828076629.1,344767736.52,872.5529,872.5529,863.8273,2022-12-07
Umoja Fund,299092018523.38,344739997.3,867.5872,867.5872,858.9114,2022-12-06
Umoja Fund,299054224309.39,299054000000.0,867.6087,867.6087,858.9327,2022-12-05
Umoja Fund,299513129912.78,344665382.6,868.9968,868.9968,860.3069,2022-12-02
Umoja Fund,299650801608.09,344728767.6,869.2364,869.2364,860.5441,2022-12-01
Umoja Fund,299548722108.33,344659077.2,869.116,869.116,860.4249,2022-11-30
Umoja Fund,299164079348.69,344566893.5,868.2322,868.2322,859.5499,2022-11-29
Umoja Fund,299097498439.04,344538782.8,868.1098,868.1098,859.4287,2022-11-28
Umoja Fund,299017580259.23,344592672.7,867.7421,867.7421,859.0647,2022-11-25
Umoja Fund,298462310732.41,344598708.9,866.1156,866.1156,857.4544,2022-11-24
Umoja Fund,298445084468.53,344627571.8,865.9931,865.9931,857.3331,2022-11-23
Umoja Fund,298213136183.34,344614972.4,865.3517,865.3517,856.6981,2022-11-22
Umoja Fund,298269158125.9,344583340.7,865.5937,865.5937,856.9377,2022-11-21
Umoja Fund,298087368464.03,344517928.7,865.2304,865.2304,856.578,2022-11-18
Umoja Fund,298011152506.37,344478078.5,865.1092,865.1092,856.4581,2022-11-17
Umoja Fund,297954697695.48,344461073.7,864.988,864.988,856.3381,2022-11-16
Umoja Fund,297900969003.71,344447238.4,864.8668,864.8668,856.2181,2022-11-15
Umoja Fund,298079296294.73,344602854.1,864.9937,864.9937,856.3438,2022-11-14
Umoja Fund,298082246290.51,344751120.0,864.6302,864.6302,855.9839,2022-11-11
Umoja Fund,298037089831.57,344737553.4,864.5333,864.5333,864.5333,2022-11-10
Umoja Fund,298108344331.99,344968752.3,864.1604,864.1604,855.5188,2022-11-09
Umoja Fund,297952587400.72,344953264.7,863.7477,863.7477,855.1102,2022-11-08
Umoja Fund,295710729709.65,344938912.3,857.2843,857.2843,848.7115,2022-11-07
Umoja Fund,295596944160.44,344953730.7,856.9177,856.9177,848.3485,2022-11-04
Umoja Fund,295700573687.0,345123944.8,856.7953,856.7953,848.2273,2022-11-03
Umoja Fund,295659404959.12,345111145.8,856.7078,856.7078,848.1407,2022-11-02
Umoja Fund,295941065239.8,345100111.0,857.5513,857.5513,848.9758,2022-11-01
Umoja Fund,296047718965.34,345090697.0,857.8838,857.8838,849.305,2022-10-31
Umoja Fund,296063347687.68,345047841.3,858.0356,858.0356,849.4553,2022-10-28
Umoja Fund,296009809458.91,345034580.1,857.9135,857.9135,849.3343,2022-10-27
Umoja Fund,296396805319.61,345097760.8,858.8778,858.8778,850.289,2022-10-26
Umoja Fund,296309671543.78,345075555.6,858.6806,858.6806,850.0938,2022-10-25
Umoja Fund,296295578098.16,345026101.0,858.7628,858.7628,850.1752,2022-10-24
Umoja Fund,296157520825.56,345012264.1,858.3971,858.3971,849.8131,2022-10-21
Umoja Fund,296170053002.67,345162395.1,858.06,858.06,849.4794,2022-10-18
Umoja Fund,295831073865.47,345116470.2,857.192,857.192,848.6201,2022-10-17
Umoja Fund,295035011714.93,345096655.6,854.9344,854.9344,846.3851,2022-10-13
Umoja Fund,295001052532.42,345087493.9,854.8587,854.8587,846.3101,2022-10-12
Umoja Fund,295310100589.61,345066875.2,855.8054,855.8054,847.2474,2022-10-11
Umoja Fund,294735845717.42,345050717.2,854.1812,854.1812,845.6394,2022-10-10
Umoja Fund,294723069946.09,345180854.0,853.8222,853.8222,845.284,2022-10-07
Umoja Fund,294674950766.54,345171176.5,853.7067,853.7067,845.1696,2022-10-06
Umoja Fund,294673153707.96,345097847.7,853.8829,853.8829,845.3441,2022-10-05
Umoja Fund,294608574844.02,345070559.5,853.7633,853.7633,845.2257,2022-10-04
Umoja Fund,294585083617.27,345091404.1,853.6436,853.6436,845.1072,2022-10-03
Umoja Fund,294438358688.31,345063661.2,853.2871,853.2871,844.7542,2022-09-30
Umoja Fund,294480023965.33,345203793.6,853.0614,853.0614,844.5308,2022-09-29
Umoja Fund,294411850036.02,345171842.2,852.9428,852.9428,844.4134,2022-09-28
Umoja Fund,294739103277.26,345140325.0,853.9689,853.9689,845.4292,2022-09-27
Umoja Fund,294559688513.32,345091008.5,853.571,853.571,845.0353,2022-09-26
Umoja Fund,294419768764.09,345062366.6,853.2364,853.2364,844.704,2022-09-23
Umoja Fund,294577285565.42,345294839.8,853.1181,853.1181,844.5869,2022-09-22
Umoja Fund,294531583233.33,345289125.9,852.9999,852.9999,844.4699,2022-09-21
Umoja Fund,294467417704.47,345261782.0,852.8816,852.8816,844.3528,2022-09-20
Umoja Fund,294581411392.46,345240617.3,853.2641,853.2641,844.7314,2022-09-19
Umoja Fund,294448523079.69,345228449.3,852.9092,852.9092,844.3801,2022-09-16
Umoja Fund,294483147356.75,345317186.5,852.7903,852.7903,844.2624,2022-09-15
Umoja Fund,294446836819.89,345202818.8,852.9676,852.9676,844.438,2022-09-14
Umoja Fund,294746495294.38,345178298.9,853.8964,853.8964,845.3574,2022-09-13
Umoja Fund,294681078910.04,345142449.4,853.7955,853.7955,845.2576,2022-09-12
Umoja Fund,293504320610.53,345163789.5,850.3335,850.3335,841.8301,2022-09-09
Umoja Fund,293556054893.02,345273941.0,850.212,850.212,841.7099,2022-09-08
Umoja Fund,293450924846.74,345260638.5,849.9403,849.9403,841.4409,2022-09-07
Umoja Fund,292292459970.35,345257725.7,846.5921,846.5921,838.1262,2022-09-06
Umoja Fund,292202421766.58,345244035.7,846.3649,846.3649,837.9012,2022-09-05
Umoja Fund,292177069028.04,345156674.2,846.5056,846.5056,838.0406,2022-09-02
Umoja Fund,292119615490.99,345139391.5,846.3816,846.3816,837.9177,2022-09-01
Umoja Fund,292131445181.74,345192270.9,846.2862,846.2862,837.8233,2022-08-31
Umoja Fund,291898117744.96,345167720.1,845.6704,845.6704,837.2137,2022-08-30
Umoja Fund,291683002524.48,345084701.7,845.2505,845.2505,836.798,2022-08-29
Umoja Fund,291304037630.34,345030280.24,844.2854,844.2854,835.8426,2022-08-26
Umoja Fund,291360626712.6,345163187.15,844.1243,844.1243,835.683,2022-08-25
Umoja Fund,291770174599.04,345166525.98,845.3026,845.3026,836.8496,2022-08-24
Umoja Fund,291268207142.77,345126888.33,843.9453,843.9453,835.5058,2022-08-22
Umoja Fund,291394592544.39,345260094.91,843.9857,843.9857,835.5459,2022-08-19
Umoja Fund,291343349846.3,345250290.42,843.8613,843.8613,835.4227,2022-08-18
Umoja Fund,291284176358.24,345214410.74,843.7776,843.7776,835.3398,2022-08-17
Umoja Fund,291351664299.26,345346155.94,843.6511,843.6511,835.2146,2022-08-16
Umoja Fund,291219404632.6,345287248.2,843.412,843.412,834.9779,2022-08-15
Umoja Fund,290985792457.87,345283152.32,842.7454,842.7454,834.318,2022-08-12
Umoja Fund,289762696813.06,345377564.64,838.9737,838.9737,830.584,2022-08-11
Umoja Fund,289688541783.65,345341285.62,838.8471,838.8471,830.4586,2022-08-10
Umoja Fund,289572438140.28,345255006.1,838.7205,838.7205,830.3333,2022-08-09
Umoja Fund,289534278677.0,345242363.16,838.6406,838.6406,830.2542,2022-08-05
Umoja Fund,289687874120.56,345477933.39,838.5134,838.5134,830.1283,2022-08-04
Umoja Fund,289729425536.63,345457874.94,838.6824,838.6824,830.2955,2022-08-03
Umoja Fund,289625235918.52,345423570.52,838.464,838.464,830.0794,2022-08-02
Umoja Fund,289316430530.51,345362018.76,837.7193,837.7193,829.3421,2022-08-01
Umoja Fund,289235260430.91,345336263.52,837.5467,837.5467,829.1713,2022-07-29
Umoja Fund,289613348101.49,345587504.85,838.0319,838.0319,829.6516,2022-07-28
Umoja Fund,289692561435.93,345595713.07,838.2412,838.2412,829.8588,2022-07-27
Umoja Fund,289381906959.84,345583410.29,837.3721,837.3721,828.9984,2022-07-26
Umoja Fund,289481835428.65,345568675.2,837.697,837.697,829.32,2022-07-25
Umoja Fund,289133315184.51,345535308.17,836.7692,836.7692,828.4015,2022-07-22
Umoja Fund,288908113400.06,345533254.27,836.1225,836.1225,827.7612,2022-07-21
Umoja Fund,289602764564.32,346155383.27,836.6265,836.6265,828.2602,2022-07-20
Umoja Fund,289369772682.17,346142783.88,835.9838,835.9838,827.624,2022-07-19
Umoja Fund,289393366538.75,346102603.33,836.1491,836.1491,827.7876,2022-07-18
Umoja Fund,288886523792.85,346061520.49,834.7837,834.7837,826.4359,2022-07-15
Umoja Fund,288580964163.43,346144636.79,833.7005,833.7005,825.3635,2022-07-14
Umoja Fund,288411567796.66,346122462.65,833.2645,833.2645,824.9319,2022-07-13
Umoja Fund,288312203696.89,346098245.72,833.0357,833.0357,824.7054,2022-07-12
Umoja Fund,288196882956.84,346073779.2,832.7614,832.7614,824.4338,2022-07-11
Umoja Fund,287974508397.85,346056226.94,832.161,832.161,823.8394,2022-07-08
Umoja Fund,287990372849.97,346088187.39,832.13,832.13,823.8087,2022-07-06
Umoja Fund,288139901651.38,346078281.89,832.5859,832.5859,824.2601,2022-07-05
Umoja Fund,288640716918.82,346044267.34,834.115,834.115,825.7739,2022-07-04
Umoja Fund,288500870978.37,346033675.03,833.7364,833.7364,825.399,2022-07-01
Umoja Fund,288593196846.12,346189863.75,833.6269,833.6269,825.2907,2022-06-30
Umoja Fund,288516188874.19,346159457.17,833.4777,833.4777,825.1429,2022-06-29
Umoja Fund,288178055546.87,346142379.67,832.542,832.542,824.2165,2022-06-28
Umoja Fund,287358124477.76,346124825.65,830.2153,830.2153,821.9131,2022-06-27
Umoja Fund,287035246654.16,346111270.84,829.3149,829.3149,821.0218,2022-06-24
Umoja Fund,287216349365.13,346109608.52,829.8422,829.8422,821.5438,2022-06-23
Umoja Fund,286953804886.96,346087115.62,829.1375,829.1375,820.8461,2022-06-22
Umoja Fund,286818659962.84,346076359.94,828.7728,828.7728,820.485,2022-06-21
Umoja Fund,286724993439.7,346053287.31,828.5573,828.5573,820.2718,2022-06-20
Umoja Fund,286924082773.23,346028663.7,829.1917,829.1917,820.8997,2022-06-17
Umoja Fund,286876146294.58,345987051.36,829.1528,829.1528,820.8613,2022-06-16
Umoja Fund,287045454596.48,346189265.54,829.1576,829.1576,820.866,2022-06-15
Umoja Fund,287285352291.42,346181789.47,829.8685,829.8685,821.5698,2022-06-14
Umoja Fund,287299506385.01,346165944.45,829.9473,829.9473,821.6479,2022-06-13
Umoja Fund,287033836469.0,346080209.25,829.3853,829.3853,821.0914,2022-06-10
Umoja Fund,287210800428.17,346062371.72,829.9394,829.9394,821.64,2022-06-09
Umoja Fund,287518017613.45,346214575.56,830.4619,830.4619,822.1573,2022-06-08
Umoja Fund,287226523944.99,346176243.31,829.7118,829.7118,821.4147,2022-06-07
Umoja Fund,287510446234.26,346054407.57,830.8244,830.8244,822.5162,2022-06-06
Umoja Fund,287367490914.49,346038055.64,830.4505,830.4505,822.146,2022-06-03
Umoja Fund,286714559991.73,346028608.58,828.5863,828.5863,820.3004,2022-06-02
Umoja Fund,286167209098.26,346196696.82,826.6029,826.6029,818.3369,2022-06-01
Umoja Fund,286218016020.81,346202765.63,826.7352,826.7352,818.4679,2022-05-31
Umoja Fund,286640646265.77,346174080.41,828.0246,828.0246,819.7443,2022-05-30
Umoja Fund,286412095275.57,346070037.06,827.6131,827.6131,819.337,2022-05-27
Umoja Fund,286244064175.06,346058684.33,827.1547,827.1547,818.8831,2022-05-26
Umoja Fund,286406271296.7,346306139.31,827.032,827.032,818.7617,2022-05-25
Umoja Fund,286411788940.77,346326592.84,826.9991,826.9991,818.7291,2022-05-24
Umoja Fund,286381285362.71,346164949.58,827.2972,827.2972,819.0242,2022-05-23
Umoja Fund,285966448492.48,346158510.31,826.1142,826.1142,817.853,2022-05-20
Umoja Fund,285837648877.52,346139632.08,825.7871,825.7871,817.5292,2022-05-19
Umoja Fund,285777472964.83,346341082.83,825.133,825.133,816.8817,2022-05-18
Umoja Fund,285375969904.49,346331580.36,823.9964,823.9964,815.7564,2022-05-17
Umoja Fund,285248411826.78,346309909.17,823.6796,823.6796,815.4428,2022-05-16
Umoja Fund,284689424483.27,346278361.0,822.1404,822.1404,813.919,2022-05-13
Umoja Fund,284701562256.19,346249300.3,822.2444,822.2444,814.022,2022-05-12
Umoja Fund,284838411394.28,346482650.5,822.0856,822.0856,813.8648,2022-05-11
Umoja Fund,284670120612.81,346332705.95,821.9556,821.9556,813.7361,2022-05-10
Umoja Fund,283373883264.96,346239739.53,818.4326,818.4326,810.2483,2022-05-09
Umoja Fund,283024477859.02,346147679.77,817.6408,817.6408,809.4644,2022-05-06
Umoja Fund,283035543518.19,346094573.91,817.7983,817.7983,809.6203,2022-05-05
Umoja Fund,282990799812.56,346195140.02,817.4315,817.4315,809.2571,2022-05-02
Umoja Fund,282950249797.43,346130444.7,817.4671,817.4671,809.2924,2022-04-29
Umoja Fund,281724533091.33,346110481.94,813.9728,813.9728,805.8331,2022-04-28
Umoja Fund,281743871977.65,346063774.89,814.1386,814.1386,805.9972,2022-04-27
Umoja Fund,281446948386.08,346024183.09,813.3736,813.3736,805.2399,2022-04-25
Umoja Fund,281412628637.08,346017223.8,813.2908,813.2908,805.1579,2022-04-22
Umoja Fund,281265426427.52,346110981.63,812.6452,812.6452,804.5187,2022-04-21
Umoja Fund,281381999480.16,346089885.02,813.0316,813.0316,804.9012,2022-04-20
Umoja Fund,281353273708.77,346106627.41,812.9092,812.9092,804.7801,2022-04-19
Umoja Fund,280323218006.23,346051677.31,810.0617,810.0617,801.9611,2022-04-14
Umoja Fund,280236480717.68,346059989.22,809.7916,809.7916,801.6937,2022-04-13
Umoja Fund,280403250056.66,346209373.76,809.9239,809.9239,801.8247,2022-04-12
Umoja Fund,280399147348.73,346154807.19,810.0397,810.0397,801.9393,2022-04-11
Umoja Fund,280250113752.09,346127206.04,809.6738,809.6738,801.577,2022-04-08
Umoja Fund,280116530958.21,346071032.55,809.4192,809.4192,801.325,2022-04-06
Umoja Fund,280159253814.71,346060315.53,809.5677,809.5677,801.472,2022-04-05
Umoja Fund,280081727847.27,346016759.47,809.4456,809.4456,801.3511,2022-04-04
Umoja Fund,280025164474.79,345994822.98,809.3334,809.3334,801.2401,2022-04-01
Umoja Fund,279862683242.28,345967729.12,808.9271,808.9271,800.8379,2022-03-31
Umoja Fund,279769969963.08,346245026.25,808.0115,808.0115,799.9314,2022-03-30
Umoja Fund,279657836604.71,346157145.27,807.8927,807.8927,799.8138,2022-03-29
Umoja Fund,279593561086.1,346138309.24,807.751,807.751,799.6735,2022-03-28
Umoja Fund,279274326047.0,345987179.52,807.1811,807.1811,799.1093,2022-03-25
Umoja Fund,278895679770.12,345994825.07,806.0689,806.0689,798.0082,2022-03-24
Umoja Fund,278859571246.22,346005792.06,805.939,805.939,797.8796,2022-03-23
Umoja Fund,278946950161.85,345991825.61,806.2241,806.2241,798.1619,2022-03-22
Umoja Fund,278894751082.92,345984735.73,806.0898,806.0898,798.0289,2022-03-21
Umoja Fund,278712570251.43,345874927.94,805.8189,805.8189,797.7608,2022-03-18
Umoja Fund,278744213689.42,345966748.88,805.6965,805.6965,797.6396,2022-03-17
Umoja Fund,278543658667.61,345926505.84,805.2105,805.2105,797.1584,2022-03-16
Umoja Fund,278423909287.71,345926202.46,804.865,804.865,796.8164,2022-03-15
Umoja Fund,278264216424.3,345784843.88,804.7323,804.7323,796.6849,2022-03-14
Umoja Fund,278086884659.85,345763152.24,804.2699,804.2699,796.2272,2022-03-11
Umoja Fund,278027307361.62,345748973.84,804.1305,804.1305,796.0892,2022-03-10
Umoja Fund,277868817101.51,346110676.99,802.8323,802.8323,794.8039,2022-03-09
Umoja Fund,277951922899.95,346088547.55,803.1237,803.1237,795.0925,2022-03-08
Umoja Fund,277679857526.24,346067530.96,802.3863,802.3863,794.3625,2022-03-07
Umoja Fund,277503410114.38,346047139.78,801.9237,801.9237,793.9045,2022-03-04
Umoja Fund,277449871880.77,346034494.94,801.7983,801.7983,793.7803,2022-03-03
Umoja Fund,277391139652.53,346014158.73,801.6757,801.6757,793.6589,2022-03-02
Umoja Fund,277331863092.86,345993352.99,801.5526,801.5526,793.537,2022-03-01
Umoja Fund,277807940746.23,346565398.26,801.6032,801.6032,793.5872,2022-02-28
Umoja Fund,277266350821.73,346556430.18,800.0612,800.0612,792.0606,2022-02-25
Umoja Fund,277212048246.25,346541601.67,799.9387,799.9387,791.9393,2022-02-24
Umoja Fund,277043426545.21,346529703.9,799.4796,799.4796,791.4848,2022-02-23
Umoja Fund,276903058442.51,346799112.96,798.4538,798.4538,790.4692,2022-02-22
Umoja Fund,276949437550.63,346909402.79,798.3336,798.3336,790.3503,2022-02-21
Umoja Fund,276920428178.62,346893176.65,798.2873,798.2873,790.3045,2022-02-18
Umoja Fund,275050381005.73,346909173.45,792.8599,792.8599,784.9313,2022-02-17
Umoja Fund,275002876856.88,346903907.49,792.735,792.735,784.8077,2022-02-16
Umoja Fund,274952678008.97,346894269.43,792.6123,792.6123,784.6862,2022-02-15
Umoja Fund,275017451183.61,347036352.99,792.4745,792.4745,784.5497,2022-02-14
Umoja Fund,274346928870.67,346980424.02,790.6698,790.6698,782.7631,2022-02-11
Umoja Fund,274289373711.68,346961269.35,790.5475,790.5475,782.6421,2022-02-10
Umoja Fund,274224302603.02,346932603.07,790.4253,790.4253,782.521,2022-02-09
Umoja Fund,274260557686.63,346920788.06,790.5567,790.5567,782.6511,2022-02-08
Umoja Fund,274301163091.12,347026478.94,790.4329,790.4329,782.5286,2022-02-07
Umoja Fund,273540799828.13,347008324.87,788.2831,788.2831,780.4003,2022-02-04
Umoja Fund,273400133116.17,346998923.81,787.8991,787.8991,780.0201,2022-02-03
Umoja Fund,273335167239.12,346973851.73,787.7688,787.7688,779.8911,2022-02-02
Umoja Fund,273364457004.34,346952239.18,787.9023,787.9023,780.0232,2022-02-01
Umoja Fund,272803600295.61,347006145.59,786.1636,786.1636,778.302,2022-01-31
Umoja Fund,272646207719.4,346964992.07,785.8032,785.8032,777.9452,2022-01-28
Umoja Fund,272594456168.82,346952170.57,785.6831,785.6831,777.8263,2022-01-27
Umoja Fund,272543078196.0,346939815.37,785.563,785.563,777.7074,2022-01-26
Umoja Fund,272434201180.66,347011037.41,785.088,785.088,777.2371,2022-01-25
Umoja Fund,272626856051.07,347196564.92,785.2234,785.2234,777.3711,2022-01-24
Umoja Fund,272275928940.51,347167814.9,784.2776,784.2776,776.4348,2022-01-21
Umoja Fund,271501092192.84,347142963.27,782.1017,782.1017,774.2807,2022-01-20
Umoja Fund,271447051468.55,347129686.37,781.9759,781.9759,774.1561,2022-01-19
Umoja Fund,271283470930.82,346977096.06,781.8484,781.8484,774.0299,2022-01-18
Umoja Fund,271137642716.59,346958428.48,781.4701,781.4701,773.6554,2022-01-17
Umoja Fund,271028067651.34,347051319.66,780.9452,780.9452,773.1358,2022-01-14
Umoja Fund,270779207148.19,347003515.32,780.3356,780.3356,772.5323,2022-01-13
Umoja Fund,270680047079.51,346986379.25,780.0884,780.0884,772.2875,2022-01-11
Umoja Fund,270751432891.62,347061223.67,780.1259,780.1259,772.3246,2022-01-10
Umoja Fund,270591001696.39,347020826.8,779.7544,779.7544,771.9568,2022-01-07
