Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Watoto Fund,8426930098.23,15378315.7,547.9748,547.9748,542.4951,2022-12-30
Watoto Fund,8411487437.93,15359492.5,547.641,547.641,542.1646,2022-12-29
Watoto Fund,8401340188.17,15344420.53,547.5176,547.5176,542.0424,2022-12-28
Watoto Fund,8407602263.94,15359370.72,547.3924,547.3924,541.9184,2022-12-27
Watoto Fund,8368494655.55,15301682.75,546.9003,546.9003,541.4313,2022-12-23
Watoto Fund,8358435337.93,15286738.02,546.7769,546.7769,541.3091,2022-12-22
Watoto Fund,8325741844.36,15228954.41,546.7048,546.7048,541.2377,2022-12-20
Watoto Fund,8307909600.38,15216387.89,545.9843,545.9843,540.5245,2022-12-19
Watoto Fund,8283513051.57,15181823.21,545.6204,545.6204,540.1642,2022-12-16
Watoto Fund,8271301462.69,15165786.83,545.3922,545.3922,539.9383,2022-12-15
Watoto Fund,8280258171.86,15165708.9,545.2685,545.2685,539.8158,2022-12-14
Watoto Fund,8267543385.63,15165708.9,545.1472,545.1472,539.6957,2022-12-13
Watoto Fund,8262763622.88,15160322.0,545.0256,545.0256,539.5753,2022-12-12
Watoto Fund,8232389060.06,15115077.22,544.6475,544.6475,539.201,2022-12-08
Watoto Fund,8232729953.63,15113749.75,544.7179,544.7179,539.2707,2022-12-07
Watoto Fund,8197384727.91,15090306.51,543.2219,543.2219,537.7897,2022-12-06
Watoto Fund,8149064810.32,14997775.1,543.3516,543.3516,537.9181,2022-12-05
Watoto Fund,8142832490.54,14979671.19,543.5922,543.5922,538.1563,2022-12-02
Watoto Fund,8143098992.36,14973411.15,543.8373,543.8373,538.3989,2022-12-01
Watoto Fund,8132223793.35,14956802.37,543.7141,543.7141,538.2769,2022-11-30
Watoto Fund,8119955750.57,14940506.53,543.486,543.486,538.0511,2022-11-29
Watoto Fund,8063140245.52,14839279.86,543.3647,543.3647,537.931,2022-11-28
Watoto Fund,8051570048.18,14827954.47,542.9994,542.9994,537.5694,2022-11-25
Watoto Fund,8031534021.45,14808721.36,542.3516,542.3516,536.9281,2022-11-24
Watoto Fund,8019698081.17,14790210.49,542.2302,542.2302,536.8079,2022-11-23
Watoto Fund,8006869989.82,14778170.05,541.8039,541.8039,536.3858,2022-11-22
Watoto Fund,8003767262.93,14765744.99,542.0497,542.0497,536.6292,2022-11-21
Watoto Fund,7998050419.72,14764978.39,541.6906,541.6906,536.2737,2022-11-18
Watoto Fund,7989428602.66,14752314.95,541.5712,541.5712,536.1555,2022-11-17
Watoto Fund,7937539310.23,14659725.24,541.4521,541.4521,536.0376,2022-11-16
Watoto Fund,7941859614.63,14670997.27,541.3306,541.3306,535.9173,2022-11-15
Watoto Fund,7935394950.84,14659904.65,541.2992,541.2992,535.8862,2022-11-14
Watoto Fund,7923552051.07,14647756.92,540.9396,540.9396,535.5302,2022-11-11
Watoto Fund,7910814359.01,14627387.93,540.8221,540.8221,535.4139,2022-11-10
Watoto Fund,7891987086.44,14598148.51,540.6156,540.6156,535.2095,2022-11-09
Watoto Fund,7874647445.32,14572181.1,540.3891,540.3891,534.9852,2022-11-08
Watoto Fund,7859706605.45,14544635.93,540.3852,540.3852,534.9814,2022-11-07
Watoto Fund,7848205522.13,14532647.37,540.0396,540.0396,534.6392,2022-11-04
Watoto Fund,7794503299.61,14436314.82,539.9233,539.9233,534.5241,2022-11-03
