Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Wekeza Maisha Fund,6658727935.83,8978247.54,741.6512,741.6512,726.8182,2022-12-30
Wekeza Maisha Fund,6640437731.36,8957835.83,741.2993,741.2993,726.4733,2022-12-29
Wekeza Maisha Fund,6631795100.25,8948322.05,741.1216,741.1216,726.2992,2022-12-28
Wekeza Maisha Fund,6598529941.93,8905299.56,740.9666,740.9666,726.1473,2022-12-27
Wekeza Maisha Fund,6583067011.55,8892450.96,740.2984,740.2984,725.4924,2022-12-23
Wekeza Maisha Fund,6577693821.12,8887212.95,740.1301,740.1301,725.3275,2022-12-22
Wekeza Maisha Fund,6569144988.16,8858135.51,740.1646,740.1646,725.3613,2022-12-20
Wekeza Maisha Fund,6543855899.19,8858135.51,738.7396,738.7396,723.9649,2022-12-19
Wekeza Maisha Fund,6533251885.33,8849636.91,738.2508,738.2508,723.4858,2022-12-16
Wekeza Maisha Fund,6526248768.84,8843005.13,738.0126,738.0126,723.2523,2022-12-15
Wekeza Maisha Fund,6523597143.94,8816616.48,737.8486,737.8486,723.0916,2022-12-14
Wekeza Maisha Fund,6503891765.93,8816616.48,737.6857,737.6857,722.932,2022-12-13
Wekeza Maisha Fund,6456722129.29,8754604.26,737.523,737.523,722.7726,2022-12-12
Wekeza Maisha Fund,6441733703.56,8741145.44,736.9439,736.9439,722.205,2022-12-08
Wekeza Maisha Fund,6430173801.58,8726498.16,736.8561,736.8561,722.119,2022-12-07
Wekeza Maisha Fund,6372594073.86,8662240.89,735.675,735.675,720.9615,2022-12-06
Wekeza Maisha Fund,6362304916.53,8644136.9,736.0255,736.0255,721.305,2022-12-05
Wekeza Maisha Fund,6359598259.66,8631071.62,736.826,736.826,722.0895,2022-12-02
Wekeza Maisha Fund,6359710764.67,8625153.29,737.3447,737.3447,722.5978,2022-12-01
Wekeza Maisha Fund,6308979079.58,8558262.67,737.1799,737.1799,722.4363,2022-11-30
Wekeza Maisha Fund,6297779407.48,8548476.97,736.7136,736.7136,721.9793,2022-11-29
Wekeza Maisha Fund,6275109365.49,8519585.58,736.551,736.551,721.82,2022-11-28
Wekeza Maisha Fund,6267238622.1,8514555.41,736.0618,736.0618,721.3405,2022-11-25
Wekeza Maisha Fund,6253378339.06,8510648.7,734.7711,734.7711,720.0756,2022-11-24
Wekeza Maisha Fund,6247104260.32,8503997.0,734.608,734.608,719.9158,2022-11-23
Wekeza Maisha Fund,6240352111.17,8498400.26,734.2973,734.2973,719.6113,2022-11-22
Wekeza Maisha Fund,6236447412.44,8487108.97,734.8141,734.8141,720.1178,2022-11-21
Wekeza Maisha Fund,6131299040.42,8349214.07,734.3564,734.3564,719.6693,2022-11-18
Wekeza Maisha Fund,6108725455.39,8320229.05,734.2016,734.2016,719.5176,2022-11-17
Wekeza Maisha Fund,6094904124.49,8303161.54,734.0462,734.0462,719.3653,2022-11-16
Wekeza Maisha Fund,5895647043.73,8033429.72,733.8892,733.8892,719.2114,2022-11-15
Wekeza Maisha Fund,5892216331.72,8028311.54,733.9297,733.9297,719.2511,2022-11-14
Wekeza Maisha Fund,5885011115.66,8023671.27,733.4562,733.4562,718.787,2022-11-11
Wekeza Maisha Fund,5861576295.32,7993439.41,733.2984,733.2984,718.6324,2022-11-10
Wekeza Maisha Fund,5846897255.69,7977322.84,732.9398,732.9398,718.281,2022-11-09
Wekeza Maisha Fund,5835600492.26,7964543.31,732.6974,732.6974,718.0435,2022-11-08
Wekeza Maisha Fund,5823453546.1,7948780.07,732.6223,732.6223,717.9699,2022-11-07
Wekeza Maisha Fund,5811295749.96,7937345.97,732.146,732.146,717.503,2022-11-04
Wekeza Maisha Fund,5803172200.36,7927971.97,731.987,731.987,717.3472,2022-11-03
Wekeza Maisha Fund,5802690689.74,7923784.3,732.3131,732.3131,717.6668,2022-11-02
Wekeza Maisha Fund,5813151571.8,7919036.82,734.0731,734.0731,719.3916,2022-11-01
Wekeza Maisha Fund,5799733659.33,7900284.6,734.1171,734.1171,719.4347,2022-10-31
Wekeza Maisha Fund,5791038370.04,7891733.93,733.8106,733.8106,719.1344,2022-10-28
Wekeza Maisha Fund,5771471713.92,7866758.93,733.6531,733.6531,718.98,2022-10-27
Wekeza Maisha Fund,5771774802.66,7845621.61,735.6683,735.6683,720.9549,2022-10-26
Wekeza Maisha Fund,5768104380.92,7842325.02,735.5095,735.5095,720.7993,2022-10-25
Wekeza Maisha Fund,5742693889.25,7809461.19,735.3508,735.3508,720.6438,2022-10-24
Wekeza Maisha Fund,5731576330.5,7799386.25,734.8753,734.8753,720.1778,2022-10-21
Wekeza Maisha Fund,5720487559.09,7789302.44,734.4031,734.4031,719.715,2022-10-18
Wekeza Maisha Fund,5695864233.54,7763939.65,733.6307,733.6307,718.9581,2022-10-17
Wekeza Maisha Fund,5682720758.83,7752629.98,733.0055,733.0055,718.3454,2022-10-13
Wekeza Maisha Fund,5680475510.29,7751593.93,732.8139,732.8139,718.1576,2022-10-12
Wekeza Maisha Fund,5668814822.39,7726453.76,733.6891,733.6891,719.0153,2022-10-11
Wekeza Maisha Fund,5658969602.93,7714688.79,733.5318,733.5318,718.8612,2022-10-10
Wekeza Maisha Fund,5670553365.58,7736245.16,732.9852,732.9852,718.3255,2022-10-07
Wekeza Maisha Fund,5668031956.07,7734457.51,732.8286,732.8286,718.1721,2022-10-06
Wekeza Maisha Fund,5661373661.71,7726113.27,732.7583,732.7583,718.1031,2022-10-05
Wekeza Maisha Fund,5652687320.51,7715909.65,732.6015,732.6015,717.9495,2022-10-04
Wekeza Maisha Fund,5634071843.64,7692145.74,732.4448,732.4448,717.7959,2022-10-03
Wekeza Maisha Fund,5624413534.72,7683907.36,731.9731,731.9731,717.3336,2022-09-30
Wekeza Maisha Fund,5616702421.37,7675391.31,731.7806,731.7806,717.145,2022-09-29
Wekeza Maisha Fund,5533454337.04,7666919.83,721.7311,721.7311,707.2965,2022-09-28
Wekeza Maisha Fund,5532469929.08,7658135.89,722.4304,722.4304,707.9818,2022-09-27
Wekeza Maisha Fund,5517170975.6,7639456.7,722.1942,722.1942,707.7503,2022-09-26
Wekeza Maisha Fund,5509584270.7,7632303.01,721.877,721.877,707.4395,2022-09-23
Wekeza Maisha Fund,5504494338.38,7626832.33,721.7275,721.7275,707.2929,2022-09-22
Wekeza Maisha Fund,5501481732.28,7624238.01,721.5779,721.5779,707.1464,2022-09-21
Wekeza Maisha Fund,5499222882.37,7622687.84,721.4283,721.4283,706.9998,2022-09-20
Wekeza Maisha Fund,5499550311.68,7620287.95,721.6985,721.6985,707.2645,2022-09-19
Wekeza Maisha Fund,5493355638.31,7616323.84,721.2608,721.2608,706.8356,2022-09-16
Wekeza Maisha Fund,5492049957.0,7616094.8,721.111,721.111,706.6888,2022-09-15
Wekeza Maisha Fund,5474404206.33,7609486.57,719.4183,719.4183,705.03,2022-09-14
Wekeza Maisha Fund,5457634990.36,7580206.92,719.985,719.985,705.5853,2022-09-13
Wekeza Maisha Fund,5452859214.15,7572508.71,720.0862,720.0862,705.6845,2022-09-12
Wekeza Maisha Fund,5433942766.88,7551238.6,719.6095,719.6095,705.2173,2022-09-09
Wekeza Maisha Fund,5471551802.13,7605130.9,719.4553,719.4553,705.0662,2022-09-08
Wekeza Maisha Fund,5456013677.88,7585410.71,719.2773,719.2773,704.8917,2022-09-07
Wekeza Maisha Fund,5440934744.96,7566316.77,719.0995,719.0995,704.7175,2022-09-06
Wekeza Maisha Fund,5431666985.92,7554978.82,718.952,718.952,704.5729,2022-09-05
Wekeza Maisha Fund,5407739517.97,7520441.18,719.0721,719.0721,704.6907,2022-09-02
Wekeza Maisha Fund,5400705123.46,7512260.62,718.9188,718.9188,704.5404,2022-09-01
Wekeza Maisha Fund,5396154659.95,7503085.06,719.1915,719.1915,704.8076,2022-08-31
Wekeza Maisha Fund,5270383598.7,7329877.93,719.0275,719.0275,704.6469,2022-08-30
Wekeza Maisha Fund,5190153525.95,7219935.07,718.8643,718.8643,704.487,2022-08-29
Wekeza Maisha Fund,5145849274.72,7159835.85,718.7105,718.7105,704.3363,2022-08-26
Wekeza Maisha Fund,5129872819.75,7139078.63,718.5623,718.5623,704.1911,2022-08-25
Wekeza Maisha Fund,5121875502.6,7126032.15,718.7556,718.7556,704.3805,2022-08-24
Wekeza Maisha Fund,5070435840.51,7056027.62,718.5964,718.5964,704.2244,2022-08-22
Wekeza Maisha Fund,5077729250.52,7067853.67,718.4259,718.4259,704.0574,2022-08-19
Wekeza Maisha Fund,4980072284.21,6933377.98,718.275,718.275,703.9095,2022-08-18
Wekeza Maisha Fund,4964511623.16,6913200.29,718.1206,718.1206,703.7582,2022-08-17
Wekeza Maisha Fund,4889360324.9,6810005.95,717.9671,717.9671,703.6078,2022-08-16
Wekeza Maisha Fund,4886569148.34,6807604.48,717.8104,717.8104,703.4542,2022-08-15
Wekeza Maisha Fund,4705299012.7,6556528.4,717.651,717.651,703.298,2022-08-12
Wekeza Maisha Fund,4700544232.78,6551664.07,717.4581,717.4581,703.1089,2022-08-11
Wekeza Maisha Fund,4683822840.5,6529803.93,717.2992,717.2992,702.9532,2022-08-10
Wekeza Maisha Fund,4672859913.92,6515971.89,717.1394,717.1394,702.7966,2022-08-09
Wekeza Maisha Fund,4663981449.89,6508429.24,716.6063,716.6063,702.2742,2022-08-05
Wekeza Maisha Fund,4655949114.96,6498660.11,716.4476,716.4476,702.1186,2022-08-04
Wekeza Maisha Fund,4649704486.54,6490454.5,716.3912,716.3912,702.0634,2022-08-03
Wekeza Maisha Fund,4641504953.42,6481378.07,716.1293,716.1293,701.8067,2022-08-02
Wekeza Maisha Fund,4628080963.62,6461146.16,716.2941,716.2941,701.9682,2022-08-01
Wekeza Maisha Fund,4635976161.97,6457415.62,717.9306,717.9306,703.572,2022-07-29
Wekeza Maisha Fund,4628533044.87,6451402.9,717.446,717.446,703.0971,2022-07-28
Wekeza Maisha Fund,4622555624.69,6439114.04,717.8869,717.8869,703.5292,2022-07-27
Wekeza Maisha Fund,4594792443.8,6422655.36,715.4039,715.4039,701.0958,2022-07-26
Wekeza Maisha Fund,4553391750.01,6377723.03,713.9526,713.9526,699.6735,2022-07-25
Wekeza Maisha Fund,4530658877.15,6369184.52,711.3405,711.3405,697.1137,2022-07-22
Wekeza Maisha Fund,4514217829.49,6362201.45,709.5371,709.5371,695.3463,2022-07-21
Wekeza Maisha Fund,4503429741.77,6354301.83,708.7214,708.7214,694.547,2022-07-20
Wekeza Maisha Fund,4490264276.64,6338994.63,708.3559,708.3559,694.1888,2022-07-19
Wekeza Maisha Fund,4485606217.15,6332866.47,708.3058,708.3058,694.1397,2022-07-18
Wekeza Maisha Fund,4465315555.1,6315996.18,706.9852,706.9852,692.8455,2022-07-15
Wekeza Maisha Fund,4442969317.78,6298237.91,705.4305,705.4305,691.3219,2022-07-14
Wekeza Maisha Fund,4437487767.5,6292999.13,705.1467,705.1467,691.0438,2022-07-13
Wekeza Maisha Fund,4432717814.03,6287995.9,704.9492,704.9492,690.8502,2022-07-12
Wekeza Maisha Fund,4418876788.05,6274004.16,704.3152,704.3152,690.2289,2022-07-11
Wekeza Maisha Fund,4400869893.92,6259007.08,703.1259,703.1259,689.0634,2022-07-08
Wekeza Maisha Fund,4396081631.6,6256171.03,702.6793,702.6793,688.6257,2022-07-06
Wekeza Maisha Fund,4394484600.15,6253404.9,702.7347,702.7347,688.68,2022-07-05
Wekeza Maisha Fund,4387112473.59,6231544.95,704.0168,704.0168,689.9365,2022-07-04
Wekeza Maisha Fund,4377015098.03,6221386.65,703.5433,703.5433,689.4725,2022-07-01
Wekeza Maisha Fund,4378246100.78,6218206.55,704.1011,704.1011,690.0191,2022-06-30
Wekeza Maisha Fund,4363871698.29,6199170.54,703.9444,703.9444,689.8656,2022-06-29
Wekeza Maisha Fund,4331799661.25,6157802.18,703.4652,703.4652,689.3959,2022-06-28
Wekeza Maisha Fund,4305242218.44,6140482.99,701.1244,701.1244,687.1019,2022-06-27
Wekeza Maisha Fund,4293976713.67,6130485.08,700.4302,700.4302,686.4216,2022-06-24
Wekeza Maisha Fund,4268458713.71,6092974.97,700.5541,700.5541,686.543,2022-06-23
Wekeza Maisha Fund,4262970300.68,6089941.49,700.0018,700.0018,686.0018,2022-06-22
Wekeza Maisha Fund,4259072005.44,6086608.11,699.7447,699.7447,685.7498,2022-06-21
Wekeza Maisha Fund,4260456723.51,6088635.5,699.7392,699.7392,685.7444,2022-06-20
Wekeza Maisha Fund,4236440714.9,6052518.96,699.9467,699.9467,685.9478,2022-06-17
Wekeza Maisha Fund,4230673093.88,6043418.4,700.0464,700.0464,686.0454,2022-06-16
Wekeza Maisha Fund,4217549059.04,6028082.18,699.6502,699.6502,685.6572,2022-06-15
Wekeza Maisha Fund,4212196492.31,6020349.85,699.6598,699.6598,685.6666,2022-06-14
Wekeza Maisha Fund,4075397551.23,5826049.44,699.513,699.513,685.5228,2022-06-13
Wekeza Maisha Fund,4062169376.03,5810944.69,699.0549,699.0549,685.0738,2022-06-10
Wekeza Maisha Fund,4032284456.87,5767518.47,699.1368,699.1368,685.1541,2022-06-09
Wekeza Maisha Fund,4023753830.37,5751451.63,699.6067,699.6067,685.6145,2022-06-08
Wekeza Maisha Fund,4001153827.09,5726814.51,698.6701,698.6701,684.6967,2022-06-07
Wekeza Maisha Fund,3992003884.4,5714985.84,698.5151,698.5151,684.5448,2022-06-06
